__      ____  __          _____ _    _ _____ _   _ ______ 
\ \    / /  \/  |   /\   / ____| |  | |_   _| \ | |  ____|
 \ \  / /| \  / |  /  \ | |    | |__| | | | |  \| | |__   
  \ \/ / | |\/| | / /\ \| |    |  __  | | | | . ` |  __|  
   \  /  | |  | |/ ____ \ |____| |  | |_| |_| |\  | |____ 
    \/   |_|  |_/_/    \_\_____|_|  |_|_____|_| \_|______|
==========================================================

Started computation at Thu Jan  7 18:11:24 2021
Running on 1 CPU threads using Open MPI
Simulation is run from the directory: 


             SYSTEM INFORMATION
==============================================
Number of particles:      10
Number of dimensions:     3
Interaction style:        Coulomb
Hamiltonian:              atom
Initial state:            random normal
Atomic number:            10


           WAVE FUNCTION INFORMATION
==============================================
Element 0:                Slater determinant
Element 1:                Padé-Jastrow
Basis:                    hydrogen orbital
Initial parameters:       constant
Number of parameters:     1
Number of hidden nodes:   10
Print parameters to file: false


            SIMULATION INFORMATION
==============================================
Max number of iterations: 100
Number of MC cycles:      100000
Number of burn-in cycles: 100
Learning rate:            0.050000
Step length:              0.005000
Equilibration fraction:   0.001000
Sampling:                 Metropolis-Hastings
Optimization:             ADAM
Random number generator:  Mersenne-Twister


               PARTICLE DENSITY
==============================================
Compute radial one-body density:  false
Compute spatial one-body density: false
Compute radial two-body density:  false
Max radius of electron density:   5.000000
Number of bins in each direction: 1000


                  RESAMPLING
==============================================
Do resampling:            false
Print energies to file:   false


                  CONVERGENCE
==============================================
Check convergence:        false
Tolerance:                0.000000
Number of energies:       5


                 ADAPTIVE STEPS
==============================================
Apply adaptive steps:       false
Range of adaptive steps:    10
Additional steps:           4
Additional steps last iter: 8


Step  Energy  Energy_STD  Kinetic  Kinetic_STD  External  External_STD  Interaction  Interaction_STD  Acceptence  CPU_time
29  -123.54646586  0.01611136  162.52930986  3.42993567  -359.59698233  6.37752050  73.52120661  1.24901963  0.98464000  0.51367569
30  -123.65401750  0.01684171  165.47628077  3.49564951  -362.06508735  6.49361090  72.93478908  1.27103716  0.98494000  0.51402426
31  -125.49149779  0.01753870  152.70215877  3.55294269  -347.40474893  6.60434739  69.21109237  1.29233983  0.98575000  0.51385450
32  -124.16701848  0.01640140  150.62823441  3.60330391  -345.54925220  6.70518283  70.75399931  1.31116151  0.98545000  0.51331854
33  -123.71088604  0.01599025  152.39146972  3.65016162  -348.24201553  6.80249683  72.13965977  1.33061175  0.98490000  0.51670218
34  -124.78336658  0.01574364  157.72308506  3.70022396  -353.17500261  6.90147666  70.66855097  1.35040937  0.98471000  0.51479387
35  -124.84661077  0.01592524  151.46396623  3.75265124  -346.58661234  7.00197792  70.27603534  1.36920565  0.98609000  0.51379204
36  -124.67591255  0.01671797  154.32492397  3.80242298  -349.60919837  7.09816180  70.60836185  1.38759624  0.98499000  0.51451182
37  -124.32152651  0.01682510  155.94922475  3.85362733  -351.40325230  7.19508009  71.13250104  1.40591921  0.98527000  0.51324892
38  -126.32080574  0.01655941  155.03440478  3.91348342  -348.69955163  7.29615956  67.34434111  1.42421074  0.98487000  0.51598644
39  -125.01382163  0.01601310  155.13376359  3.96601826  -350.22549132  7.39145720  70.07790610  1.44059339  0.98557000  0.53176618
40  -123.53230402  0.01684696  164.50705435  4.01310826  -361.62736971  7.48375545  73.58801133  1.45807984  0.98450000  0.61938977
41  -124.24470038  0.01685546  153.41106072  4.06183947  -348.60031030  7.57931533  70.94454920  1.47695736  0.98485000  0.61841917
42  -124.32997568  0.01482254  152.97631726  4.10549220  -347.68596747  7.66756122  70.37967454  1.49431217  0.98551000  0.61736369
43  -125.66127274  0.01592545  147.99749934  4.14800706  -341.76654690  7.75398402  68.10777482  1.51138414  0.98536000  0.61679626
44  -125.50255736  0.01690113  149.69383099  4.18896912  -343.71121202  7.83728776  68.51482367  1.52705207  0.98461000  0.61897993
45  -125.91885882  0.01706057  148.53786955  4.23297309  -341.77924764  7.92207176  67.32251926  1.54266890  0.98522000  0.61994457
46  -125.69248185  0.01633931  152.10370443  4.27531983  -346.92006479  8.00479549  69.12387851  1.55768029  0.98507000  0.61815453
47  -124.92882412  0.01647580  153.00976126  4.31869473  -347.40328392  8.08892627  69.46469854  1.57333392  0.98506000  0.61871028
48  -125.83487245  0.01707455  147.48407798  4.35920710  -341.87899038  8.17099937  68.56003995  1.58907512  0.98523000  0.61873770
49  -125.34388782  0.01574953  156.57048913  4.48944073  -350.82824235  8.29929596  68.91386539  1.60415200  0.98532000  0.61601663
50  -126.54138372  0.01592879  146.17184211  4.53059861  -338.99242452  8.38121553  66.27919869  1.61926168  0.98486000  0.61559296
51  -126.41428219  0.01513822  146.38291161  4.57036929  -339.05937413  8.45892562  66.26218033  1.63313929  0.98532000  0.53494525
52  -125.61034410  0.01629569  148.41396785  4.60644407  -340.78983772  8.53390377  66.76552577  1.64683386  0.98465000  0.51229501
53  -125.70906362  0.01629204  140.01939443  4.64330550  -332.66800201  8.60921350  66.93954396  1.66066117  0.98536000  0.51445246
54  -126.46378975  0.01643415  150.89292907  4.67937186  -344.31189244  8.68195544  66.95517362  1.67444882  0.98482000  0.51225233
55  -125.74565924  0.01632695  149.47228812  4.71977594  -342.46519444  8.75916648  67.24724708  1.68809918  0.98534000  0.51155949
56  -126.44977295  0.01712421  147.01688153  4.75932590  -339.61756991  8.83494000  66.15091543  1.70173321  0.98577000  0.51585770
57  -126.86940083  0.01623679  141.27510991  4.79263304  -333.40815090  8.90627201  65.26364016  1.71493452  0.98595000  0.51257372
58  -127.14552538  0.01625844  142.31653366  4.83829529  -332.63344839  8.98240673  63.17138935  1.72759004  0.98602000  0.51902962
59  -127.63403116  0.01785105  134.81673823  4.87071893  -323.52489799  9.05045678  61.07412860  1.73939945  0.98572000  0.51175427
60  -127.31405464  0.01646334  136.24196027  4.90202491  -325.34804851  9.11544536  61.79203360  1.75042841  0.98591000  0.51210642
61  -128.20790766  0.01719664  130.42648865  4.93046462  -318.56712210  9.17891177  59.93272579  1.76157376  0.98587000  0.51019216
